catalog,series,nside,delta_disc_mas,cdf
ucac4,before,64,6.242000000000001,0.27284888807503715
ucac4,before,64,6.2570000000000014,0.273515229201001
ucac4,before,64,6.273999999999999,0.27418157032696494
ucac4,before,64,6.288000000000001,0.2748529980264095
ucac4,before,64,6.303999999999999,0.2755193391523734
ucac4,before,64,6.320000000000002,0.2761856802783373
ucac4,before,64,6.336,0.2768520214043012
ucac4,before,64,6.351999999999999,0.27751836253026513
ucac4,before,64,6.367999999999999,0.278184703656229
ucac4,before,64,6.385999999999999,0.27885613135567355
ucac4,before,64,6.4,0.2795224724816375
ucac4,before,64,6.416,0.2801888136076014
ucac4,before,64,6.431000000000001,0.28085515473356526
ucac4,before,64,6.449,0.2815214958595292
ucac4,before,64,6.465,0.2821878369854931
ucac4,before,64,6.481000000000001,0.282854178111457
ucac4,before,64,6.498999999999999,0.2835256058109015
ucac4,before,64,6.514,0.28419194693686545
ucac4,before,64,6.531999999999999,0.28485828806282937
ucac4,before,64,6.548000000000002,0.2855246291887933
ucac4,before,64,6.564,0.28619097031475715
ucac4,before,64,6.58,0.2868573114407211
ucac4,before,64,6.597999999999999,0.287523652566685
ucac4,before,64,6.612,0.2881950802661295
ucac4,before,64,6.627000000000001,0.2888614213920934
ucac4,before,64,6.6419999999999995,0.28952776251805734
ucac4,before,64,6.658000000000001,0.29019410364402126
ucac4,before,64,6.673,0.2908604447699851
ucac4,before,64,6.686999999999999,0.29152678589594905
ucac4,before,64,6.703,0.2921982135953936
ucac4,before,64,6.723,0.29286455472135753
ucac4,before,64,6.742,0.2935308958473214
ucac4,before,64,6.757,0.2941972369732853
ucac4,before,64,6.772,0.29486357809924924
ucac4,before,64,6.7879999999999985,0.2955299192252131
ucac4,before,64,6.803000000000001,0.296196260351177
ucac4,before,64,6.819999999999999,0.2968676880506216
ucac4,before,64,6.8340000000000005,0.2975340291765855
ucac4,before,64,6.85,0.29820037030254937
ucac4,before,64,6.868,0.2988667114285133
ucac4,before,64,6.882999999999999,0.2995330525544772
ucac4,before,64,6.9,0.30019939368044113
ucac4,before,64,6.9190000000000005,0.300865734806405
ucac4,before,64,6.933999999999999,0.30153716250584955
ucac4,before,64,6.9510000000000005,0.3022035036318135
ucac4,before,64,6.967,0.3028698447577774
ucac4,before,64,6.982000000000001,0.30353618588374126
ucac4,before,64,7.0,0.3042025270097052
ucac4,before,64,7.0169999999999995,0.3048688681356691
ucac4,before,64,7.034999999999997,0.3055402958351136
ucac4,before,64,7.053000000000001,0.3062066369610775
ucac4,before,64,7.068,0.30687297808704145
ucac4,before,64,7.087000000000001,0.30753931921300537
ucac4,before,64,7.102000000000004,0.30820566033896923
ucac4,before,64,7.119999999999999,0.30887200146493315
ucac4,before,64,7.1370000000000005,0.3095383425908971
ucac4,before,64,7.153999999999998,0.31020977029034164
ucac4,before,64,7.170999999999999,0.3108761114163055
ucac4,before,64,7.1850000000000005,0.3115424525422694
ucac4,before,64,7.202999999999999,0.31220879366823334
ucac4,before,64,7.221,0.31287513479419726
ucac4,before,64,7.235999999999999,0.31354147592016113
ucac4,before,64,7.25,0.3142129036196057
ucac4,before,64,7.266,0.3148792447455696
ucac4,before,64,7.284,0.3155455858715335
ucac4,before,64,7.3020000000000005,0.3162119269974974
ucac4,before,64,7.32,0.3168782681234613
ucac4,before,64,7.335000000000001,0.31754460924942524
ucac4,before,64,7.354999999999999,0.3182109503753891
ucac4,before,64,7.374,0.31888237807483366
ucac4,before,64,7.388,0.3195487192007976
ucac4,before,64,7.4030000000000005,0.3202150603267615
ucac4,before,64,7.420999999999999,0.32088140145272537
ucac4,before,64,7.4350000000000005,0.3215477425786893
ucac4,before,64,7.449999999999999,0.3222140837046532
ucac4,before,64,7.4670000000000005,0.32288042483061713
ucac4,before,64,7.483,0.32355185253006163
ucac4,before,64,7.499999999999999,0.32421819365602556
ucac4,before,64,7.519,0.3248845347819895
ucac4,before,64,7.534,0.32555087590795334
ucac4,before,64,7.552,0.32621721703391726
ucac4,before,64,7.5729999999999995,0.3268835581598812
ucac4,before,64,7.590999999999999,0.32755498585932574
ucac4,before,64,7.607,0.3282213269852896
ucac4,before,64,7.625,0.32888766811125353
ucac4,before,64,7.640999999999999,0.32955400923721745
ucac4,before,64,7.657999999999998,0.33022035036318137
ucac4,before,64,7.677,0.33088669148914523
ucac4,before,64,7.693,0.33155303261510916
ucac4,before,64,7.707999999999998,0.3322244603145537
